s,"tamp,datetime,","humidity,t",emperature
"""","1497825503"",""",18/06/2017,"22:38:23"",""64.5"",""18.2"""
"""","1497825504"",""",18/06/2017,"22:38:24"",""64.5"",""18.2"""
"""","1497825505"",""",18/06/2017,"22:38:25"",""64.5"",""18.2"""
"""","1497825506"",""",18/06/2017,"22:38:26"",""64.5"",""18.2"""
"""","1497825507"",""",18/06/2017,"22:38:27"",""64.5"",""18.2"""
"""","1497825508"",""",18/06/2017,"22:38:28"",""64.5"",""18.2"""
"""","1497825509"",""",18/06/2017,"22:38:29"",""64.5"",""18.2"""
"""","1497825510"",""",18/06/2017,"22:38:30"",""64.5"",""18.2"""
"""","1497825511"",""",18/06/2017,"22:38:31"",""64.5"",""18.2"""
"""","1497825512"",""",18/06/2017,"22:38:32"",""64.6"",""18.2"""
"""","1497825513"",""",18/06/2017,"22:38:33"",""64.6"",""18.2"""
"""","1497825514"",""",18/06/2017,"22:38:34"",""64.6"",""18.2"""
"""","1497825515"",""",18/06/2017,"22:38:35"",""64.6"",""18.2"""
"""","1497825516"",""",18/06/2017,"22:38:36"",""64.6"",""18.2"""
"""","1497825517"",""",18/06/2017,"22:38:37"",""64.7"",""18.2"""
"""","1497825518"",""",18/06/2017,"22:38:38"",""64.7"",""18.2"""
"""","1497825519"",""",18/06/2017,"22:38:39"",""64.7"",""18.2"""
"""","1497825520"",""",18/06/2017,"22:38:40"",""64.7"",""18.2"""
"""","1497825521"",""",18/06/2017,"22:38:41"",""64.7"",""18.2"""
"""","1497825522"",""",18/06/2017,"22:38:42"",""64.7"",""18.2"""
"""","1497825523"",""",18/06/2017,"22:38:43"",""64.7"",""18.2"""
"""","1497825524"",""",18/06/2017,"22:38:44"",""64.7"",""18.2"""
"""","1497825525"",""",18/06/2017,"22:38:45"",""64.7"",""18.2"""
"""","1497825526"",""",18/06/2017,"22:38:46"",""64.6"",""18.2"""
"""","1497825527"",""",18/06/2017,"22:38:47"",""64.6"",""18.2"""
"""","1497825528"",""",18/06/2017,"22:38:48"",""64.6"",""18.2"""
"""","1497825529"",""",18/06/2017,"22:38:49"",""64.6"",""18.3"""
"""","1497825530"",""",18/06/2017,"22:38:50"",""64.6"",""18.3"""
"""","1497825531"",""",18/06/2017,"22:38:51"",""64.5"",""18.2"""
"""","1497825532"",""",18/06/2017,"22:38:52"",""64.5"",""18.2"""
"""","1497825533"",""",18/06/2017,"22:38:53"",""64.5"",""18.2"""
"""","1497825534"",""",18/06/2017,"22:38:54"",""64.4"",""18.2"""
"""","1497825535"",""",18/06/2017,"22:38:55"",""64.4"",""18.2"""
"""","1497825536"",""",18/06/2017,"22:38:56"",""64.5"",""18.3"""
"""","1497825537"",""",18/06/2017,"22:38:57"",""64.5"",""18.3"""
"""","1497825538"",""",18/06/2017,"22:38:58"",""64.5"",""18.3"""
"""","1497825539"",""",18/06/2017,"22:38:59"",""64.4"",""18.3"""
"""","1497825540"",""",18/06/2017,"22:39:0"",""64.4"",""18.3"""
